Region,Year,Mean BMI (male)
Southern Asia,2010,22.622017645555555
Southern Asia,2011,22.70847840888889
Southern Asia,2012,22.79664926888889
Southern Asia,2013,22.886077626666665
Southern Asia,2014,22.97609476111111
Southern Asia,2015,23.066274978888888
Southern Asia,2016,23.156490966666667
Western Asia,2000,26.035798061666668
Western Asia,2001,26.114333015
Western Asia,2002,26.191980035
Western Asia,2003,26.269282456666662
Western Asia,2004,26.34645268222222
Western Asia,2005,26.423272832222224
Western Asia,2006,26.500555541111112
Western Asia,2007,26.57968038888889
Western Asia,2008,26.66233704444444
Western Asia,2009,26.74748881
Western Asia,2010,26.833887042222223
Western Asia,2011,26.921304988333333
Western Asia,2012,27.009128355
Western Asia,2013,27.09712086722222
Western Asia,2014,27.18575006833333
Western Asia,2015,27.27414916333333
Western Asia,2016,27.362571411666668
All Countries,2000,24.49743277161905
All Countries,2001,24.576039304142856
All Countries,2002,24.65470295457143
All Countries,2003,24.73339097147619
All Countries,2004,24.811827300238097
All Countries,2005,24.88937583309524
All Countries,2006,24.96603529547619
All Countries,2007,25.04166214504762
All Countries,2008,25.116178088666665
All Countries,2009,25.189274564
All Countries,2010,25.260858823190475
All Countries,2011,25.33188155885714
All Countries,2012,25.402458171190474
All Countries,2013,25.47298017552381
All Countries,2014,25.54407101561905
All Countries,2015,25.61549880528572
All Countries,2016,25.687209546380952
