Region,Year,Mean BMI (female)
Southern Asia,2003,22.697675847777777
Southern Asia,2004,22.81661619222222
Southern Asia,2005,22.934124244444444
Southern Asia,2006,23.050326232222222
Southern Asia,2007,23.16630481111111
Southern Asia,2008,23.282351227777777
Southern Asia,2009,23.398699571111113
Southern Asia,2010,23.514790166666664
Southern Asia,2011,23.630866567777776
Southern Asia,2012,23.747065514444444
Southern Asia,2013,23.863267399999998
Southern Asia,2014,23.978863580000002
Southern Asia,2015,24.093864244444447
Southern Asia,2016,24.20782954
Western Asia,2000,27.27523322277778
Western Asia,2001,27.34243679
Western Asia,2002,27.407090236666665
Western Asia,2003,27.468783764444442
Western Asia,2004,27.527986123333335
Western Asia,2005,27.584364716666666
Western Asia,2006,27.639319641666667
Western Asia,2007,27.694796640555555
Western Asia,2008,27.752901801666667
Western Asia,2009,27.81245592388889
Western Asia,2010,27.87231365111111
Western Asia,2011,27.932222434444444
Western Asia,2012,27.992826539444444
Western Asia,2013,28.054054051666668
Western Asia,2014,28.115635236666666
Western Asia,2015,28.177537439444443
Western Asia,2016,28.23942021722222
All Countries,2000,24.750960158535033
All Countries,2001,24.83916542585987
All Countries,2002,24.92583760254777
All Countries,2003,25.010663010828026
All Countries,2004,25.09363127254777
All Countries,2005,25.174555471401273
All Countries,2006,25.253982447388534
All Countries,2007,25.332470127197453
All Countries,2008,25.41043567044586
All Countries,2009,25.48776400019108
All Countries,2010,25.564218078917197
All Countries,2011,25.640169788025478
All Countries,2012,25.715742951210192
All Countries,2013,25.791193351783438
All Countries,2014,25.866425397261146
All Countries,2015,25.94124275
All Countries,2016,26.015417404904458
