Region,Year,Healthy (NCDRisC (2017)),Overweight or Obese (NCDRisC (2017)),Underweight (NCDRisC (2017))
Africa,2000,68.40377358490566,17.077358490566038,14.516981132075472
Africa,2001,68.23584905660377,17.426415094339625,14.345283018867924
Africa,2002,68.05471698113207,17.771698113207545,14.167924528301887
Africa,2003,67.87547169811322,18.137735849056604,13.99056603773585
Africa,2004,67.67169811320754,18.522641509433964,13.81132075471698
Africa,2005,67.45849056603774,18.918867924528303,13.624528301886793
Africa,2006,67.2377358490566,19.337735849056607,13.420754716981131
Africa,2007,66.98679245283019,19.775471698113204,13.218867924528302
Africa,2008,66.72452830188679,20.235849056603772,13.030188679245283
Africa,2009,66.47735849056605,20.68867924528302,12.828301886792453
Africa,2010,66.20377358490566,21.154716981132076,12.637735849056602
Africa,2011,65.92264150943396,21.626415094339624,12.449056603773585
Africa,2012,65.62264150943396,22.12264150943396,12.254716981132075
Africa,2013,65.30754716981133,22.635849056603774,12.060377358490566
Africa,2014,64.97169811320755,23.152830188679243,11.866037735849057
Asia,2000,57.794,32.514,9.704
Asia,2001,57.458,33.012,9.524
Asia,2002,57.12,33.536,9.34
Asia,2003,56.763999999999996,34.08,9.161999999999999
Asia,2004,56.373999999999995,34.652,8.984
Asia,2005,55.966,35.244,8.788
Asia,2006,55.53,35.861999999999995,8.602
Asia,2007,55.076,36.508,8.41
Asia,2008,54.61600000000001,37.17,8.216000000000001
Asia,2009,54.141999999999996,37.821999999999996,8.027999999999999
Asia,2010,53.666000000000004,38.5,7.837999999999999
Asia,2011,53.168,39.174,7.654
Asia,2012,52.681999999999995,39.856,7.468
Asia,2013,52.18600000000001,40.524,7.291999999999999
Asia,2014,51.681999999999995,41.193999999999996,7.114
Europe,2000,44.02682926829268,54.985365853658536,1.002439024390244
Europe,2001,43.4390243902439,55.599999999999994,0.9658536585365854
Europe,2002,42.85121951219512,56.22926829268293,0.9195121951219513
Europe,2003,42.24390243902439,56.863414634146345,0.8853658536585365
Europe,2004,41.619512195121956,57.5219512195122,0.8536585365853658
Europe,2005,41.0,58.18536585365853,0.8219512195121952
Europe,2006,40.34390243902439,58.87317073170732,0.7804878048780488
Europe,2007,39.70487804878049,59.556097560975616,0.7390243902439024
Europe,2008,39.0609756097561,60.22682926829269,0.7146341463414634
Europe,2009,38.49512195121951,60.826829268292684,0.6829268292682927
Europe,2010,37.9390243902439,61.40975609756098,0.6414634146341464
Europe,2011,37.392682926829266,61.982926829268294,0.624390243902439
Europe,2012,36.863414634146345,62.541463414634144,0.6024390243902439
Europe,2013,36.334146341463416,63.075609756097556,0.5780487804878048
Europe,2014,35.81951219512195,63.62439024390244,0.5536585365853658
North America,2000,53.30833333333333,41.74583333333333,4.933333333333333
North America,2001,52.71666666666667,42.512499999999996,4.75
North America,2002,52.13333333333333,43.300000000000004,4.575
North America,2003,51.520833333333336,44.09166666666667,4.395833333333333
North America,2004,50.895833333333336,44.9,4.208333333333333
North America,2005,50.24583333333334,45.72083333333333,4.041666666666667
North America,2006,49.5625,46.55833333333334,3.8666666666666667
North America,2007,48.88333333333333,47.40833333333333,3.7083333333333335
North America,2008,48.19166666666666,48.25,3.5583333333333336
North America,2009,47.541666666666664,49.04583333333333,3.4166666666666665
North America,2010,46.90833333333333,49.81666666666666,3.2875
North America,2011,46.270833333333336,50.574999999999996,3.15
North America,2012,45.61666666666667,51.34166666666667,3.033333333333333
North America,2013,44.9625,52.12083333333334,2.9125
North America,2014,44.291666666666664,52.90416666666667,2.8041666666666667
Oceania,2000,35.43157894736842,63.72105263157895,0.8526315789473684
Oceania,2001,35.03157894736842,64.14736842105263,0.8368421052631579
Oceania,2002,34.642105263157895,64.53684210526316,0.8263157894736842
Oceania,2003,34.26315789473684,64.94736842105263,0.7947368421052632
Oceania,2004,33.89473684210526,65.34210526315789,0.7578947368421053
Oceania,2005,33.53157894736842,65.73157894736842,0.7421052631578947
Oceania,2006,33.16842105263158,66.10000000000001,0.7315789473684211
Oceania,2007,32.800000000000004,66.49473684210527,0.7105263157894737
Oceania,2008,32.40526315789474,66.89999999999999,0.7052631578947368
Oceania,2009,32.03684210526316,67.27368421052631,0.6947368421052631
Oceania,2010,31.673684210526314,67.65789473684211,0.6684210526315789
Oceania,2011,31.321052631578947,68.03684210526316,0.6578947368421053
Oceania,2012,30.936842105263157,68.42105263157895,0.6368421052631579
Oceania,2013,30.542105263157893,68.8157894736842,0.6157894736842104
Oceania,2014,30.157894736842106,69.22105263157896,0.6052631578947368
South America,2000,51.975,45.21666666666667,2.8249999999999997
South America,2001,51.4,45.916666666666664,2.6999999999999997
South America,2002,50.824999999999996,46.583333333333336,2.5833333333333335
South America,2003,50.25833333333333,47.26666666666667,2.466666666666667
South America,2004,49.666666666666664,47.949999999999996,2.3833333333333333
South America,2005,49.06666666666666,48.666666666666664,2.2916666666666665
South America,2006,48.425000000000004,49.38333333333333,2.1999999999999997
South America,2007,47.75,50.13333333333333,2.1
South America,2008,47.1,50.875,2.0333333333333337
South America,2009,46.416666666666664,51.625,1.9416666666666667
South America,2010,45.74166666666667,52.38333333333333,1.883333333333333
South America,2011,45.01666666666667,53.175000000000004,1.8083333333333333
South America,2012,44.300000000000004,53.96666666666667,1.75
South America,2013,43.574999999999996,54.76666666666667,1.675
South America,2014,42.875,55.51666666666667,1.6166666666666665
